year,province,population,area_of_land,population_density,wetlands_area,pdrb_per_capita,farmer_over_population,farmer_organization_rate,farmers_totrade,ldi_dominance,msg_basket_ssr,soybean_yield_gap,broiler_yield_gap,layer_yield_gap,paddy_yield_gap,temperature,humidity,rainfall_per_area,rainfall_optimal_gap,temperature_optimal_gap,commodity_basket_index,price_to_ssr,cluster,investment_priority
2022,Bali,4343400.0,5780.06,751.4454867250513,64474,12.91453699866464,0.1131555923930561,0.0273948075201432,95.43,0.4734143280063803,0.0024876798456696,0.32127741439015,1.0424598449021438e-05,8.337108594602682e-06,0.0,27.43,81.81,0.0383092909070148,-0.10715,0.0025454545454545,0.2838957877344616,114.12070899261454,2,Priority3
2022,Bangka Belitung,1471800.0,16424.06,89.6124344406925,22561,43.39312406576981,0.1047615165103954,0.039931771603497,125.95,0.7660784400938134,0.0011267814551701,0.3478260869565217,1.0520589193041552e-05,8.225014489826599e-06,0.3289321670242615,26.63,88.53,0.017836028363267,-0.4647,0.0316363636363636,0.3677955753804192,326.4125209842685,0,Priority2
2022,Banten,12023000.0,9662.92,1244.240871289424,197845,5.108042917740996,0.0508152707310987,0.0176478675902525,99.53,0.3817742457328784,0.001400848856161,0.6013851481338977,1.0359761523082156e-05,8.320723107191341e-06,0.1246080211255983,27.32,82.2,0.0161762696990143,0.2184499999999999,0.0065454545454545,0.204991669796895,146.33389526308807,2,Priority3
2022,Bengkulu,2032400.0,19919.33,102.03154423366648,43547,21.52971855933871,0.2372185593387128,0.0286939225052528,134.01,0.8997505404672029,0.000596529562241,0.3736052327818391,1.0207548265417364e-05,7.438345771548782e-06,0.1868295098201022,25.76,84.95,0.0167274702512584,-0.6659999999999999,0.0632727272727272,0.2222066078798189,372.498903566568,0,Priority2
2022,DKI Jakarta,10605400.0,664.01,15971.747413442568,360,28.256831425500216,0.0014593508967129,0.0386379789364864,103.71,0.6160280922828608,0.0008483650139787,0.4745414903167885,1.0367425921531392e-05,8.324758752897843e-06,0.1916157781812181,28.42,78.72,0.2413066068282104,0.19885,-0.0334545454545455,0.3524996575389234,415.5047081511887,2,Priority3
2022,Daerah Istimewa Yogyakarta,3687800.0,3133.15,1177.0263153695162,67027,12.10450675199306,0.1050515212321709,0.0257505633581047,98.4,0.5735308528212184,0.0020078332757935,0.5009619084263177,1.0310970175453347e-05,8.312683556277456e-06,0.1642185179072455,26.15,87.2,0.0728978823229018,-0.142,0.0490909090909091,0.1621420520490677,80.75473895360537,2,Priority3
2022,Gorontalo,1183500.0,11257.07,105.13392916629284,32241,33.536966624419094,0.1555707646810308,0.0545030904094113,103.33,0.4214811631608278,0.0007734829321708,0.3655252020007695,9.846659872247976e-06,7.63212121301926e-06,0.1534906750288827,27.07,85.13,0.0144415909290783,0.18715,0.0156363636363636,0.275467640389621,356.13926168546755,1,Priority1
2022,Jambi,3586400.0,50058.16,71.64466292808206,69961,21.2536248048182,0.2314814298460852,0.0212627305961924,135.08,0.9384847925463344,0.0008793732611286,0.2300884955752211,1.0432198693233197e-05,8.194154011875732e-06,0.2427793365241789,25.55,83.81,0.0042928066073543,-0.0744499999999999,0.0709090909090908,0.2336002248781125,265.64399351680095,0,Priority2
2022,Jawa Barat,48738800.0,35377.76,1377.6677777225011,916798,1.0081700821522073,0.0693985489999753,0.0180924680153334,99.75,0.4543176456724967,0.0013081133136131,0.2843401308195459,1.037568997175331e-05,8.340602361767147e-06,0.0633767948506355,25.18,83.28,0.0072929998959798,-0.29005,0.0843636363636363,0.2417165087633112,184.7825461661797,2,Priority3
2022,Jawa Tengah,36811100.0,32800.69,1122.2660255012927,987468,1.1391672620486757,0.1167037388179109,0.0163861998844039,104.08,0.4160243629678441,0.0017637157118264,0.312043093497499,1.0378969716007267e-05,8.331644308245956e-06,0.0854926555537218,27.85,80.0,0.0067943692647929,-0.1143,-0.0127272727272727,0.1965606542642534,111.44690323175804,2,Priority3
2022,Jawa Timur,40921100.0,47803.49,856.0274574094905,1207977,1.6189203125038183,0.1584835940382834,0.0088260831418882,102.49,0.5840285236836189,0.0022795837966482,0.3301269719122739,1.0384286111997376e-05,8.333408227811923e-06,0.0714639379435551,26.37,81.81,0.004680202219545,-0.1186499999999999,0.041090909090909,0.1798940899196325,78.9153222549386,2,Priority3
2022,Kalimantan Barat,5474700.0,147307.0,37.16523994107544,200499,8.419091457066141,0.2133711436243081,0.0209948610743718,141.34,0.4586898192042319,0.0009538864200296,0.0,1.032821836188802e-05,8.308580383031838e-06,0.5002475656048853,26.78,84.97,0.0018433611437338,-0.3577000000000001,0.0261818181818181,0.6057478505286031,635.031422828903,0,Priority2
2022,Kalimantan Selatan,4116900.0,38744.23,106.2584028641168,343373,14.625810682795308,0.1504347931696179,0.0287006014612683,107.33,0.7993063311321914,0.0018406723262261,0.3482108503270488,1.0402622345417887e-05,8.305399694652493e-06,0.3706882323815811,26.9,84.39,0.0054000298883214,-0.0460999999999999,0.0218181818181818,0.4693885517005854,255.00929470860788,1,Priority1
2022,Kalimantan Tengah,2700100.0,153564.5,17.58283978393444,100963,27.026036072738048,0.1716503092478056,0.0262410108032183,121.6,0.4460246775152401,0.0006405460320427,0.3393612928049249,1.0367080720219413e-05,7.229287393606398e-06,0.4754910051163559,27.0,85.62,0.0019081884159424,-0.4651499999999998,0.0181818181818181,0.6135149327478027,957.7999114150872,1,Priority1
